Timestamp,SKU,Channel,Orders,Cart_Additions,Checkout_Conversion_Rate,Forecast_72H,Real_Demand_72H
2023-07-01 00:00:00,ECO300,WEB,9,58,5.8,11,-2
2023-07-01 00:00:00,ECO300,MOBILE,36,52,1.41,29,48
2023-07-01 00:00:00,ECO300,APP,43,63,1.43,23,32
2023-07-01 00:00:00,ECO900,WEB,35,45,1.25,27,41
2023-07-01 00:00:00,ECO900,MOBILE,42,49,1.14,53,35
2023-07-01 00:00:00,ECO900,APP,13,39,2.79,20,27
2023-07-01 00:00:00,ECOBOOST,WEB,44,100,2.22,29,40
2023-07-01 00:00:00,ECOBOOST,MOBILE,23,56,2.33,10,36
2023-07-01 00:00:00,ECOBOOST,APP,49,91,1.82,68,53
2023-07-01 01:00:00,ECO300,WEB,49,98,1.96,29,42
2023-07-01 01:00:00,ECO300,MOBILE,26,82,3.04,37,28
2023-07-01 01:00:00,ECO300,APP,41,58,1.38,58,37
2023-07-01 01:00:00,ECO900,WEB,35,55,1.53,28,48
2023-07-01 01:00:00,ECO900,MOBILE,3,58,14.5,-2,14
2023-07-01 01:00:00,ECO900,APP,5,39,6.5,-14,11
2023-07-01 01:00:00,ECOBOOST,WEB,7,65,8.12,7,-7
2023-07-01 01:00:00,ECOBOOST,MOBILE,8,54,6.0,14,3
2023-07-01 01:00:00,ECOBOOST,APP,40,96,2.34,24,36
2023-07-01 02:00:00,ECO300,WEB,47,101,2.1,34,58
2023-07-01 02:00:00,ECO300,MOBILE,43,97,2.2,36,39
2023-07-01 02:00:00,ECO300,APP,40,50,1.22,32,46
2023-07-01 02:00:00,ECO900,WEB,46,89,1.89,29,52
2023-07-01 02:00:00,ECO900,MOBILE,19,45,2.25,24,26
2023-07-01 02:00:00,ECO900,APP,17,63,3.5,9,25
2023-07-01 02:00:00,ECOBOOST,WEB,26,56,2.07,19,13
2023-07-01 02:00:00,ECOBOOST,MOBILE,10,19,1.73,11,16
2023-07-01 02:00:00,ECOBOOST,APP,23,50,2.08,41,32
2023-07-01 03:00:00,ECO300,WEB,30,72,2.32,26,18
2023-07-01 03:00:00,ECO300,MOBILE,19,68,3.4,2,18
2023-07-01 03:00:00,ECO300,APP,36,95,2.57,38,42
2023-07-01 03:00:00,ECO900,WEB,26,76,2.81,37,21
2023-07-01 03:00:00,ECO900,MOBILE,18,28,1.47,16,3
2023-07-01 03:00:00,ECO900,APP,23,79,3.29,34,22
2023-07-01 03:00:00,ECOBOOST,WEB,22,40,1.74,21,33
2023-07-01 03:00:00,ECOBOOST,MOBILE,33,48,1.41,42,37
2023-07-01 03:00:00,ECOBOOST,APP,42,92,2.14,30,27
2023-07-01 04:00:00,ECO300,WEB,38,95,2.44,52,41
2023-07-01 04:00:00,ECO300,MOBILE,16,20,1.18,16,23
2023-07-01 04:00:00,ECO300,APP,18,51,2.68,36,4
2023-07-01 04:00:00,ECO900,WEB,37,63,1.66,41,24
2023-07-01 04:00:00,ECO900,MOBILE,9,56,5.6,26,6
2023-07-01 04:00:00,ECO900,APP,4,43,8.6,13,2
2023-07-01 04:00:00,ECOBOOST,WEB,33,57,1.68,47,38
2023-07-01 04:00:00,ECOBOOST,MOBILE,42,54,1.26,33,47
2023-07-01 04:00:00,ECOBOOST,APP,43,56,1.27,45,47
2023-07-01 05:00:00,ECO300,WEB,39,78,1.95,53,38
2023-07-01 05:00:00,ECO300,MOBILE,7,51,6.38,0,-5
2023-07-01 05:00:00,ECO300,APP,13,63,4.5,19,6
2023-07-01 05:00:00,ECO900,WEB,6,59,8.43,-10,15
