Run_Timestamp,Forecast_Version,Date,Country,Channel,Brand,SKU,Forecast_Units
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-001,49
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,NutriBox,NB-001,73
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-001,65
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-001,70
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-002,96
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,NutriBox,NB-002,84
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-002,93
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-002,71
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-003,66
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-003,104
2024-12-15 06:00:00,V1,2025-01-01,ES,Ecom,NutriBox,NB-003,82
2024-12-15 06:00:00,V1,2025-01-01,IT,Ecom,NutriBox,NB-003,79
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-004,80
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-004,67
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-004,80
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-004,73
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-005,91
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-005,86
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-005,63
2024-12-15 06:00:00,V1,2025-01-01,IT,Ecom,NutriBox,NB-005,79
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-006,85
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,NutriBox,NB-006,80
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-006,82
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-006,65
2024-12-15 06:00:00,V1,2025-01-01,FR,Ecom,NutriBox,NB-007,77
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-007,74
2024-12-15 06:00:00,V1,2025-01-01,ES,Ecom,NutriBox,NB-007,87
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-007,89
2024-12-15 06:00:00,V1,2025-01-01,FR,Ecom,NutriBox,NB-008,83
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-008,66
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-008,114
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-008,82
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-009,89
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-009,76
2024-12-15 06:00:00,V1,2025-01-01,ES,Ecom,NutriBox,NB-009,98
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-009,92
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-010,81
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,NutriBox,NB-010,81
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-010,87
2024-12-15 06:00:00,V1,2025-01-01,IT,Ecom,NutriBox,NB-010,74
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-011,78
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,NutriBox,NB-011,98
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-011,85
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-011,77
2024-12-15 06:00:00,V1,2025-01-01,FR,Ecom,NutriBox,NB-012,74
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-012,98
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-012,84
2024-12-15 06:00:00,V1,2025-01-01,IT,Ecom,NutriBox,NB-012,87
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-013,71
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-013,104
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-013,87
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-013,55
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-014,72
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,NutriBox,NB-014,99
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-014,83
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-014,89
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-015,77
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-015,100
2024-12-15 06:00:00,V1,2025-01-01,ES,Ecom,NutriBox,NB-015,97
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-015,81
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-016,88
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-016,75
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-016,80
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-016,74
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-017,77
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,NutriBox,NB-017,82
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-017,80
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-017,84
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-018,81
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,NutriBox,NB-018,64
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-018,68
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-018,74
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,NutriBox,NB-019,94
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-019,80
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,NutriBox,NB-019,78
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,NutriBox,NB-019,75
2024-12-15 06:00:00,V1,2025-01-01,FR,Ecom,NutriBox,NB-020,71
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,NutriBox,NB-020,65
2024-12-15 06:00:00,V1,2025-01-01,ES,Ecom,NutriBox,NB-020,72
2024-12-15 06:00:00,V1,2025-01-01,IT,Ecom,NutriBox,NB-020,100
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,EcoPure,EP-001,45
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,EcoPure,EP-001,58
2024-12-15 06:00:00,V1,2025-01-01,ES,Ecom,EcoPure,EP-001,41
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,EcoPure,EP-001,52
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,EcoPure,EP-002,48
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,EcoPure,EP-002,54
2024-12-15 06:00:00,V1,2025-01-01,ES,Ecom,EcoPure,EP-002,57
2024-12-15 06:00:00,V1,2025-01-01,IT,Ecom,EcoPure,EP-002,64
2024-12-15 06:00:00,V1,2025-01-01,FR,Ecom,EcoPure,EP-003,36
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,EcoPure,EP-003,45
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,EcoPure,EP-003,43
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,EcoPure,EP-003,52
2024-12-15 06:00:00,V1,2025-01-01,FR,Retail,EcoPure,EP-004,58
2024-12-15 06:00:00,V1,2025-01-01,DE,Retail,EcoPure,EP-004,53
2024-12-15 06:00:00,V1,2025-01-01,ES,Retail,EcoPure,EP-004,51
2024-12-15 06:00:00,V1,2025-01-01,IT,Retail,EcoPure,EP-004,54
2024-12-15 06:00:00,V1,2025-01-01,FR,Ecom,EcoPure,EP-005,44
2024-12-15 06:00:00,V1,2025-01-01,DE,Ecom,EcoPure,EP-005,33
2024-12-15 06:00:00,V1,2025-01-01,ES,Ecom,EcoPure,EP-005,47
