Source_File,Refresh_Timestamp,SKU,Market,Pipeline_Step,Cleaned_Units,API_Status,API_Latency_ms,Oracle_Batch_ID,Oracle_Status,Error_Log,Retry_Count,Data_Quality_Percent
fact_sales_ES.csv,2024-01-01 13:56:00,NF_EU_0032,ES,Load_Oracle,548,ERROR,461.4,BATCH_3288,LOADED,Bad_SKU,1,77.17
fact_sales_IT.csv,2024-01-01 13:58:00,NF_EU_0030,DE,Clean,587,TIMEOUT,327.4,BATCH_7496,FAILED,Duplicate,2,71.44
fact_sales_DE.csv,2024-01-01 10:19:00,NF_EU_0010,IT,Transform,436,ERROR,154.1,BATCH_5488,FAILED,Timeout,0,83.09
fact_sales_DE.csv,2024-01-01 12:38:00,NF_EU_0025,DE,Load_Oracle,459,ERROR,126.1,BATCH_2197,LOADED,Missing_Field,3,94.76
fact_sales_DE.csv,2024-01-01 19:14:00,NF_EU_0004,FR,Load_Oracle,290,OK,409.9,BATCH_3355,LOADED,,2,93.74
fact_sales_DE.csv,2024-01-01 19:37:00,NF_EU_0048,ES,Extract,410,TIMEOUT,259.2,BATCH_8937,PENDING,Duplicate,2,76.24
fact_sales_DE.csv,2024-01-01 11:47:00,NF_EU_0002,IT,API_Call,676,ERROR,580.1,BATCH_1575,PENDING,Missing_Field,3,80.0
fact_sales_ES.csv,2024-01-01 03:34:00,NF_EU_0032,IT,Load_Oracle,482,TIMEOUT,293.2,BATCH_8019,PENDING,Timeout,3,88.94
fact_sales_DE.csv,2024-01-01 00:11:00,NF_EU_0026,ES,Extract,622,OK,313.3,BATCH_6421,FAILED,Duplicate,1,84.49
fact_sales_FR.csv,2024-01-01 00:02:00,NF_EU_0019,FR,Validate,691,ERROR,241.4,BATCH_8936,FAILED,Bad_SKU,0,87.06
fact_sales_ES.csv,2024-01-01 12:07:00,NF_EU_0048,FR,Validate,689,ERROR,426.5,BATCH_2694,LOADED,Duplicate,2,90.16
fact_sales_FR.csv,2024-01-01 13:58:00,NF_EU_0049,IT,Extract,382,TIMEOUT,454.7,BATCH_6408,LOADED,Missing_Field,3,75.28
fact_sales_FR.csv,2024-01-01 12:59:00,NF_EU_0005,IT,Extract,513,ERROR,332.8,BATCH_1648,PENDING,Duplicate,0,92.61
fact_sales_IT.csv,2024-01-01 23:43:00,NF_EU_0040,FR,Validate,445,ERROR,231.3,BATCH_5008,LOADED,Missing_Field,0,84.24
fact_sales_IT.csv,2024-01-01 08:10:00,NF_EU_0048,IT,Transform,392,OK,296.4,BATCH_9592,LOADED,,3,96.28
fact_sales_IT.csv,2024-01-01 10:00:00,NF_EU_0043,ES,Clean,468,OK,384.0,BATCH_2924,LOADED,,2,95.72
fact_sales_ES.csv,2024-01-01 03:56:00,NF_EU_0027,FR,Transform,648,TIMEOUT,398.7,BATCH_4997,FAILED,Duplicate,1,83.73
fact_sales_DE.csv,2024-01-01 21:01:00,NF_EU_0030,IT,Extract,349,OK,394.5,BATCH_8456,LOADED,,0,95.48
fact_sales_IT.csv,2024-01-01 19:25:00,NF_EU_0050,DE,Load_Oracle,606,RETRYING,444.5,BATCH_6776,LOADED,,3,94.53
fact_sales_DE.csv,2024-01-01 12:30:00,NF_EU_0004,DE,Validate,432,RETRYING,255.7,BATCH_6586,FAILED,Bad_SKU,3,93.31
fact_sales_IT.csv,2024-01-01 15:21:00,NF_EU_0025,FR,Transform,677,ERROR,175.5,BATCH_2643,FAILED,Missing_Field,0,76.9
fact_sales_FR.csv,2024-01-01 09:32:00,NF_EU_0011,DE,Clean,572,OK,435.3,BATCH_7681,LOADED,,3,94.5
fact_sales_DE.csv,2024-01-01 13:39:00,NF_EU_0027,FR,Validate,606,RETRYING,508.4,BATCH_8997,PENDING,Duplicate,1,91.44
fact_sales_IT.csv,2024-01-01 07:14:00,NF_EU_0038,FR,Validate,554,ERROR,345.9,BATCH_2349,FAILED,,1,95.28
fact_sales_DE.csv,2024-01-01 07:01:00,NF_EU_0013,IT,Validate,287,OK,360.9,BATCH_3894,LOADED,,2,95.62
fact_sales_DE.csv,2024-01-01 20:05:00,NF_EU_0015,FR,Extract,386,ERROR,613.9,BATCH_2758,FAILED,Missing_Field,1,76.42
fact_sales_IT.csv,2024-01-01 02:30:00,NF_EU_0042,ES,Load_Oracle,664,OK,166.5,BATCH_8236,LOADED,,1,94.09
fact_sales_DE.csv,2024-01-01 15:37:00,NF_EU_0030,ES,Load_Oracle,540,TIMEOUT,388.0,BATCH_7950,PENDING,Timeout,0,85.87
fact_sales_DE.csv,2024-01-01 22:27:00,NF_EU_0002,DE,Transform,257,TIMEOUT,446.7,BATCH_3433,LOADED,Missing_Field,3,70.23
fact_sales_FR.csv,2024-01-01 22:17:00,NF_EU_0005,FR,Validate,536,OK,486.3,BATCH_9838,FAILED,,1,97.17
fact_sales_DE.csv,2024-01-01 19:19:00,NF_EU_0031,FR,Clean,508,OK,327.7,BATCH_2252,FAILED,Missing_Field,1,70.28
