Date,Country,SKU,Actual_Units,Forecast_System_Units,Abs_Error,MAPE_Percent,Bias_Percent,Forecast_Variation_MoM,Root_Cause_Label,Root_Cause_Flag,Root_Cause_Impact
2022-01-01,FR,FB_EU_001,878,2022,1144,130.2961274142413,130.2961274142413,-4.762430734456192,None,False,None
2022-02-01,FR,FB_EU_001,2190,2091,99,4.5205479431413025,-4.5205479431413025,-2.930601630632535,None,False,None
2022-03-01,FR,FB_EU_001,1941,1860,81,4.1731066439087545,-4.1731066439087545,6.664486456997673,HighPromoFrequency,True,Medium
2022-04-01,FR,FB_EU_001,1848,2099,251,13.582251074901379,13.582251074901379,-6.8335112332038275,None,False,None
2022-05-01,FR,FB_EU_001,1935,2251,316,16.330749345565504,16.330749345565504,-0.3388979904659879,Outliers,True,Medium
2022-06-01,FR,FB_EU_001,2402,1748,654,27.227310563185966,-27.227310563185966,3.4091786665488004,DataErrors,True,High
2022-07-01,FR,FB_EU_001,1132,2054,922,81.44876317893218,81.44876317893218,-7.660054258647793,HighPromoFrequency,True,High
2022-08-01,FR,FB_EU_001,1650,2482,832,50.42424239368228,50.42424239368228,-2.287204553882247,Outliers,True,Low
2022-09-01,FR,FB_EU_001,2340,1891,449,19.188034179834176,-19.188034179834176,7.3450283095599636,None,False,None
2022-10-01,FR,FB_EU_001,1615,2171,556,34.42724456072616,34.42724456072616,-3.7268830911258712,MissingEvents,True,Medium
2022-11-01,FR,FB_EU_001,2387,2057,330,13.824884786834987,-13.824884786834987,2.2454029488731213,None,False,None
2022-12-01,FR,FB_EU_001,2031,1745,286,14.081733129452617,-14.081733129452617,0.0647679422324941,HighPromoFrequency,True,High
2023-01-01,FR,FB_EU_001,1069,1979,910,85.12628616919898,85.12628616919898,-4.973392453170259,HighPromoFrequency,True,Low
2023-02-01,FR,FB_EU_001,1590,1538,52,3.2704402495154463,-3.2704402495154463,7.818467586539528,None,False,None
2023-03-01,FR,FB_EU_001,2317,2120,197,8.50237375550178,-8.50237375550178,-0.6373503692894601,HighPromoFrequency,True,High
2023-04-01,FR,FB_EU_001,1586,2102,516,32.53467841580411,32.53467841580411,-1.9798443235060228,None,False,None
2023-05-01,FR,FB_EU_001,1154,1589,435,37.69497397080158,37.69497397080158,7.457066558006496,None,False,None
2023-06-01,FR,FB_EU_001,2226,1921,305,13.701707091778209,-13.701707091778209,-5.765310518152661,MissingEvents,True,High
